"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Saudi Arabia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","24","1"
"Senegal","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","13","1"
"Serbia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","61","1"
"Sierra Leone","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","11","1"
"Solomon Islands","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","35","1"
"Somalia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","15","2"
"South Africa","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","60","2"
"South Asia","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","52","3"
"South Sudan","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","4","5"
"Spain","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","66","2"
"Sri Lanka","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","68","1"
"State of Palestine","Female 15-49 yr","2007-2012","UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other national surveys; United Nations Population Division","Percent","50","2"
